,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,W,L,W/L%,PS/G,PA/G,Conference,PTS_rolling_avg,ORB_rolling_avg,DRB_rolling_avg,AST_rolling_avg,3P_rolling_avg,3PA_rolling_avg,STL_rolling_avg,BLK_rolling_avg,Point_Differential,win_ratio_trend
59,Oklahoma City Thunder,82,241.5,38.3,89.1,0.43,12.1,37.4,0.323,26.2,51.8,0.507,15.0,19.9,0.756,10.4,35.2,45.6,22.2,7.6,4.6,14.0,18.3,103.7,2022,24,58,0.293,103.7,111.8,West,104.35,10.15,35.45,22.15,12.0,36.25,7.3,4.5,-8.099999999999994,-0.013
60,Sacramento Kings,82,241.8,43.6,88.2,0.494,13.8,37.3,0.369,29.8,50.9,0.586,19.8,25.1,0.79,9.5,32.9,42.5,27.3,7.0,3.4,13.5,19.7,120.7,2023,48,34,0.585,120.7,118.1,West,114.9,9.5,32.766666666666666,25.5,12.433333333333332,34.6,7.233333333333333,4.3,2.6000000000000085,0.2189999999999999
61,Golden State Warriors,82,241.8,43.1,90.2,0.479,16.6,43.2,0.385,26.5,47.0,0.564,16.0,20.2,0.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9,2023,44,38,0.537,118.9,117.1,West,114.53333333333336,9.433333333333334,34.96666666666667,28.2,15.166666666666666,40.43333333333334,8.066666666666666,4.4,1.8000000000000114,-0.1089999999999999
62,Atlanta Hawks,82,242.1,44.6,92.4,0.483,10.8,30.5,0.352,33.9,61.8,0.548,18.5,22.6,0.818,11.2,33.2,44.4,25.0,7.1,4.9,12.9,18.8,118.4,2023,41,41,0.5,118.4,118.1,East,115.33333333333331,10.6,34.06666666666667,24.566666666666663,12.033333333333331,32.766666666666666,7.1000000000000005,4.633333333333334,0.3000000000000113,-0.024
63,Boston Celtics,82,243.7,42.2,88.8,0.475,16.0,42.6,0.377,26.2,46.2,0.567,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9,2023,57,25,0.695,117.9,111.4,East,114.1,10.266666666666666,34.9,25.0,14.266666666666666,38.7,7.1000000000000005,5.433333333333334,6.5,0.0729999999999999
64,Oklahoma City Thunder,82,242.1,43.1,92.6,0.465,12.1,34.1,0.356,31.0,58.5,0.53,19.2,23.7,0.809,11.4,32.3,43.6,24.4,8.2,4.2,13.0,21.0,117.5,2023,40,42,0.488,117.5,116.4,West,108.73333333333332,10.566666666666668,34.4,22.9,12.033333333333331,35.53333333333333,7.599999999999999,4.4,1.0999999999999943,0.195
65,Los Angeles Lakers,82,242.4,42.9,89.0,0.482,10.8,31.2,0.346,32.1,57.8,0.555,20.6,26.6,0.775,10.0,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2,2023,43,39,0.524,117.2,116.6,West,112.93333333333334,9.733333333333333,34.93333333333334,24.666666666666668,11.3,32.300000000000004,7.266666666666667,5.066666666666666,0.6000000000000085,0.122
66,Utah Jazz,82,241.5,42.5,89.8,0.473,13.3,37.8,0.353,29.2,52.0,0.56,18.7,23.8,0.786,11.8,34.1,45.9,26.0,6.1,5.2,15.4,20.5,117.1,2023,37,45,0.451,117.1,118.0,West,115.7,11.066666666666668,35.76666666666667,24.03333333333333,14.833333333333334,40.36666666666667,6.633333333333333,5.1000000000000005,-0.9000000000000057,-0.1469999999999999
67,Memphis Grizzlies,82,241.2,43.7,92.1,0.475,12.0,34.2,0.351,31.7,57.9,0.548,17.5,23.8,0.733,12.0,34.6,46.6,26.0,8.3,5.8,13.6,20.0,116.9,2023,51,31,0.622,116.9,113.0,West,115.26666666666668,12.433333333333332,34.96666666666667,26.3,11.566666666666668,32.76666666666667,9.066666666666668,5.8,3.9000000000000057,-0.061
68,Milwaukee Bucks,82,241.8,42.7,90.4,0.473,14.8,40.3,0.368,27.9,50.1,0.557,16.6,22.4,0.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9,2023,58,24,0.707,116.9,113.3,East,117.5,10.533333333333331,37.266666666666666,25.066666666666663,14.433333333333332,38.6,7.366666666666667,4.5,3.6000000000000085,0.0849999999999999
69,Indiana Pacers,82,240.9,42.0,89.6,0.469,13.6,37.0,0.367,28.4,52.6,0.54,18.7,23.7,0.79,10.1,31.4,41.5,27.0,7.7,5.8,14.9,21.2,116.3,2023,35,47,0.427,116.3,119.5,East,114.36666666666667,10.133333333333333,32.56666666666667,26.6,12.7,35.46666666666667,7.766666666666667,5.933333333333334,-3.200000000000003,0.122
70,New York Knicks,82,243.4,42.0,89.4,0.47,12.6,35.7,0.354,29.4,53.6,0.547,19.4,25.5,0.761,12.6,34.0,46.6,22.9,6.4,4.1,13.0,20.3,116.0,2023,47,35,0.573,116.0,113.1,East,109.83333333333331,11.266666666666666,34.7,22.066666666666663,12.533333333333331,34.2,6.8,4.7,2.9000000000000057,0.1219999999999999
71,Denver Nuggets,82,240.9,43.6,86.4,0.504,11.8,31.2,0.379,31.8,55.2,0.575,16.8,22.4,0.751,10.1,32.9,43.0,28.9,7.5,4.5,14.5,18.6,115.8,2023,53,29,0.646,115.8,112.5,West,114.53333333333336,9.933333333333332,33.9,27.83333333333333,12.466666666666669,33.766666666666666,7.6,4.233333333333333,3.299999999999997,0.061
72,Minnesota Timberwolves,82,241.8,42.9,87.4,0.49,12.2,33.3,0.365,30.7,54.1,0.568,17.9,23.7,0.755,9.1,32.8,41.9,26.2,8.0,5.4,15.3,21.6,115.8,2023,42,40,0.512,115.8,115.8,West,114.6,10.266666666666666,32.9,25.83333333333333,13.366666666666667,37.4,8.533333333333333,5.5,0.0,-0.049
73,Philadelphia 76ers,82,242.4,40.8,83.8,0.487,12.6,32.6,0.387,28.2,51.2,0.551,21.0,25.1,0.835,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,115.2,2023,54,28,0.659,115.2,110.9,East,112.9,9.066666666666666,33.666666666666664,24.2,11.833333333333334,31.5,8.166666666666666,5.4,4.299999999999997,0.037
74,New Orleans Pelicans,82,242.1,42.0,87.6,0.48,11.0,30.1,0.364,31.1,57.5,0.541,19.3,24.4,0.793,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,114.4,2023,42,40,0.512,114.4,112.5,West,112.76666666666668,11.433333333333332,34.0,25.633333333333336,10.733333333333334,30.866666666666664,8.066666666666668,4.166666666666667,1.9000000000000057,0.073
